id,ra,dec
0000000,    14.133121,    41.580659
0000001,    14.845063,    41.369881
0000002,    14.203912,    41.572254
0000003,    14.792922,    40.273925
0000004,    13.388755,    40.458366
0000005,    13.742364,    41.434812
0000006,    14.891889,    41.942221
0000007,    14.938218,    41.681384
0000008,    13.954797,    41.774592
0000009,    14.224962,    41.198361
0000010,    14.130662,    42.143847
0000011,    14.517612,    41.415729
0000012,    14.474474,    42.142524
0000013,    14.462295,    41.326324
0000014,    14.839194,    41.065235
0000015,    13.368346,    42.063574
0000016,    14.842059,    41.318667
0000017,    15.066916,    42.144405
0000018,    14.597509,    41.056588
0000019,    13.230841,    42.195877
0000020,    13.662231,    41.888839
0000021,    14.231104,    41.567588
0000022,    14.779737,    40.790976
0000023,    14.966506,    41.581395
0000024,    14.538006,    40.365305
0000025,    14.860807,    41.078787
0000026,    14.005996,    40.678703
0000027,    13.496386,    41.736348
0000028,    14.233241,    40.856796
0000029,    14.392695,    40.808500
0000030,    13.619504,    40.784087
0000031,    15.179341,    40.284773
0000032,    14.844888,    41.480434
0000033,    13.829267,    41.417545
0000034,    14.800628,    40.661420
0000035,    13.943017,    41.811918
0000036,    13.331429,    41.744070
0000037,    13.636972,    41.922720
0000038,    14.977794,    41.113514
0000039,    14.946619,    40.502497
0000040,    14.071350,    41.204869
0000041,    13.532885,    40.488357
0000042,    14.867055,    40.646078
0000043,    13.272620,    41.525735
0000044,    13.316186,    42.031267
0000045,    14.303434,    41.291656
0000046,    13.634715,    41.513342
0000047,    13.810784,    41.682899
0000048,    14.910734,    42.189501
0000049,    13.488606,    41.128170
0000050,    13.459381,    41.696064
0000051,    15.191149,    41.343937
0000052,    14.270382,    41.096495
0000053,    14.824864,    40.903322
0000054,    14.351260,    41.627902
0000055,    14.294333,    41.213363
0000056,    14.168439,    41.742311
0000057,    14.657365,    41.242782
0000058,    14.042977,    41.327615
0000059,    14.799788,    41.683738
0000060,    13.355877,    42.094980
0000061,    14.659602,    40.560066
0000062,    14.873298,    40.634207
0000063,    13.758992,    41.338538
